РАЙОН,Код на училището,Училище - име,Код на паралелката,Паралелка - име,Балообразуване,Бал/2025
ЛОЗЕНЕЦ,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",772,Парково строителство и озеленяване - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * БЗО + 1 * ИИ),415.5
СРЕДЕЦ,2222007,"7. СРЕДНО УЧИЛИЩЕ  ""СВ. СЕДМОЧИСЛЕНИЦИ"", ГР.СОФИЯ",359,"Чужди езици - АЕ интензивно, ИЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М),414.25
ЛОЗЕНЕЦ,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",392,"Природни науки -  интензивно ФЕ, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),413
ТРИАДИЦА,2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",779,"Бизнес администрация - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),413
ВЪЗРАЖДАНЕ,2204018,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",897,"Математически - АЕ интензивно, НЕ; М и Инф",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),412
ВЪЗРАЖДАНЕ,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2777,"Хуманитарни науки - АЕ интензивно, РЕ; БЕЛ и ИЦ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),411.5
СРЕДЕЦ,2222012,"12 Средно  училище "" Цар Иван Асен II"", ГР.СОФИЯ",2209,"Чужди езици - НЕ интензивно, АЕ/РЕ по избор",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),411.5
ЛОЗЕНЕЦ,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",748,Транспортно строителство - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * ФА + 1 * ИИ),411.5
ИЗГРЕВ,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2372,"Промишлена електроника - АЕ, НЕ",(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),411
ОБОРИЩЕ,2216001,"1 Средно  училище  ""Пенчо П. Славейков"", ГР.СОФИЯ",1907,"Природни науки - БЗО и ХООС - АЕ интензивно, ИЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз),410
ТРИАДИЦА,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",4855,Компютърна анимация - ИЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),409.75
ТРИАДИЦА,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",1294,Графичен дизайн - НЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),409.5
ТРИАДИЦА,2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",775,"Застрахователно и осигурително дело - AE интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),408
ЛОЗЕНЕЦ,2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",2754,Икономика и мениджмънт - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),408
ВЪЗРАЖДАНЕ,2204018,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",3931,"Чужди езици - КорЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),407.5
