РАЙОН,Код на училището,Училище - име,Код на паралелката,Паралелка - име,Балообразуване,Бал/2025
БАНКЯ,2201400,"Професионална гимназия  по туризъм ""Алеко Константинов"", ГР.БАНКЯ",362,Производство на кулинарни изделия и напитки - готвач,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),130
ОВЧА КУПЕЛ,2217424,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА, ГР.СОФИЯ",2123,Компютърна техника и технологии - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),129
ИСКЪР,2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ),125
МЛАДОСТ,2213144,"144 Средно училище ""Народни будители"", ГР.СОФИЯ",1142,Български танци - АЕ,(1 * БЕЛ + 1 * МАТ + 2 * МиФВС) + (1 * БЕЛ + 1 * Муз.),124.6
ИЛИНДЕН,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2357,Възобновяеми енергийни източници (дуална) - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ),121
СЛАТИНА,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2187,Спедиция транспортна и складова логистика - АЕ (дневна),(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),115.5
БАНКЯ,2201400,"Професионална гимназия  по туризъм ""Алеко Константинов"", ГР.БАНКЯ",344,Организация на хотелиерството -  АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ИЦ + 1 * ГИ),115
СЛАТИНА,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2178,Ремонт на летателни апарати - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),114
ОВЧА КУПЕЛ,2217424,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА, ГР.СОФИЯ",4333,Програмиране на роботи - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),112.5
КРЕМИКОВЦИ,2210162,"162 Обединено училище ""Отец Паисий"", ГР.СОФИЯ",4591,Изобразително изкуство,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ + 1 * ИИ),110
СЛАТИНА,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров"", ГР.СОФИЯ",2539,Логистика на товари и услуги - куриер,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ),109
ИСКЪР,2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1677,"Автомобилна мехатроника - АЕ, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП),108
ОВЧА КУПЕЛ,2217066,"66 Средно училище ""Филип Станиславов"", ГР.СОФИЯ",3935,Бизнес администрация - АЕ интензивно,(3 * БЕЛ + 1 * МАТ) + (1 * КМИТ + 1 * ЧЕз),108
СЛАТИНА,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2165,Автомобилна мехатроника - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),101
СЛАТИНА,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",3500,Автотранспортна техника - техник АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),100
ОБОРИЩЕ,2216422,"Професионална гимназия по  механоелектротехника ""Н.Й.Вапцаров"", ГР.СОФИЯ",2193,Промишлена електроника - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),98
ПОДУЯНЕ,2219130,"130. средно училище ""Стефан Караджа"", ГР.СОФИЯ",4713,Помощник-възпитател,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО),97
ЛЮЛИН,2212079,"79 средно училище ""Индира Ганди"", ГР.СОФИЯ",4199,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ),96
ИЛИНДЕН,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2349,"Подемно - транспортна техника, монтирана на пътни транспортни средства",(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ),96
ИСКЪР,2207068,"68. Средно училище ""Академик Никола Обрешков"", ГР.СОФИЯ",3634,Природни науки - АЕ разширено,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),96
ОВЧА КУПЕЛ,2217149,"149  Средно училище ,,Иван Хаджийски"", ГР.СОФИЯ",4456,"Електронна търговия - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),94
СЛАТИНА,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",3934,Електрически превозни средства - техник АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),94
ВЪЗРАЖДАНЕ,2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",4274,Организация и технология на козметичните услуги,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),91
ЛЮЛИН,2212090,"90 Средно училище  ""Генерал Хосе де Сан Мартин"", ГР.СОФИЯ",1384,"Предприемачески - ИЕ, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),90
ЛЮЛИН,2212090,"90 Средно училище  ""Генерал Хосе де Сан Мартин"", ГР.СОФИЯ",1390,"Природни науки - АЕ, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),90
ВЪЗРАЖДАНЕ,2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",4507,Организация на туризма и свободното време - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ТП),89
КРАСНА ПОЛЯНА,2208017,"17 СУ ""Дамян Груев""  , ГР.СОФИЯ",2379,Туристическа анимация - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ЧЕз),89
ВИТОША,2202401,"Професионална гимназия по екология и  биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",2591,Осигуряване на продуктова информация - НЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),89
ИЛИНДЕН,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ),88
ИСКЪР,2207069,"69 Средно  училище ""Димитър Маринов"", ГР.СОФИЯ",887,"Икономическо развитие - АЕ, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ГИ),88
ОВЧА КУПЕЛ,2217424,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА, ГР.СОФИЯ",2115,Компютърни мрежи - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),88
КРЕМИКОВЦИ,2210085,"85 Средно училище ""Отец Паисий"", ГР.СОФИЯ",1929,"Търговия на едро и дребно - АЕ, РЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ),86
ВРЪБНИЦА,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ"", ГР.СОФИЯ",1777,Природни науки - АЕ интензивно,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ХООС),83
БАНКЯ,2201400,"Професионална гимназия  по туризъм ""Алеко Константинов"", ГР.БАНКЯ",358,Производство и обслужване в заведенията за хранене и развлечения - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),82
ОВЧА КУПЕЛ,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ"", ГР.СОФИЯ",4731,Помощник - възпитател в отглеждането и възпитанието на деца,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО),82
КРАСНА ПОЛЯНА,2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",547,"Производство на хляб хлебни и сладкарски изделия - АЕ, НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * БЗО),79
НАДЕЖДА,2214015,"15 Средно училище "" Адам Мицкевич"", ГР.СОФИЯ",4438,Митническо и данъчно обслужване,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),78
КРАСНА ПОЛЯНА,2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",563,Декорация на сладкарски изделия - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИИ),77
БАНКЯ,2201078,"78. Средно училище  ""Христо Смирненски"", ГР.БАНКЯ",463,Извършване на термални процедури - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),74
СЛАТИНА,2221094,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров"", ГР.СОФИЯ",2535,Производство на облекло от текстил,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ИИ),72
СЛАТИНА,2221430,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ ""МАКГАХАН"", ГР.СОФИЯ",2212,Спедиция транспортна и складова логистика - АЕ (дуална),(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),71
ИЛИНДЕН,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2362,"Топлотехника - отоплителна, климатична, вентилационна и хладилна (дуална) - АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ),70
ЛЮЛИН,2212027,"27. Средно училище ""Акад. Георги Караславов"", ГР.СОФИЯ",2387,Софтуерни и хардуерни науки,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),68
ОВЧА КУПЕЛ,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ"", ГР.СОФИЯ",2903,Цветарство,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),64
ПОДУЯНЕ,2219130,"130. средно училище ""Стефан Караджа"", ГР.СОФИЯ",3506,"Икономическо развитие - АЕ, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),60
МЛАДОСТ,2213144,"144 Средно училище ""Народни будители"", ГР.СОФИЯ",1118,Музика - АЕ,(1 * БЕЛ + 1 * МАТ + 2 * МУЗ) + (1 * БЕЛ + 1 * Муз.),59.5
ВЪЗРАЖДАНЕ,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3562,Ръководител движение - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),58
ВЪЗРАЖДАНЕ,2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",4825,Сценичен костюм,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),54
КРАСНА ПОЛЯНА,2208123,"123 Средно училищe ""Стефан Стамболов"", ГР.СОФИЯ",631,Логистика на товари и услуги,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),54
НОВИ ИСКЪР,2215172,"172 Обединено училище ""Христо Ботев"", ГР.НОВИ ИСКЪР",2807,Производство на облекло от текстил,(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП),52
КРЕМИКОВЦИ,2210162,"162 Обединено училище ""Отец Паисий"", ГР.СОФИЯ",2956,Предприемачески,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),52
ВИТОША,2202401,"Професионална гимназия по екология и  биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),52
ИЛИНДЕН,2206113,"113 СУ ""САВА ФИЛАРЕТОВ"", ГР.СОФИЯ",1676,Продавач-консултант /АЕ/,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ТП),48
ВЪЗРАЖДАНЕ,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",3558,Локомотиви и вагони (дуална) - РЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),44
КРЕМИКОВЦИ,2210117,"117. СУ, ГР.СОФИЯ",975,Предприемачески,(3 * БЕЛ + 1 * МАТ) + (1 * КМИТ + 1 * ЧЕз),41
ЛЮЛИН,2212079,"79 средно училище ""Индира Ганди"", ГР.СОФИЯ",4201,"Софтуерни и хардуерни науки - АЕ разширено, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ),41
НАДЕЖДА,2214015,"15 Средно училище "" Адам Мицкевич"", ГР.СОФИЯ",2582,Предприемачески - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),36
ПОДУЯНЕ,2219024,"24 Средно училище  ""П.К.Яворов"", ГР.СОФИЯ",2439,Предприемачески,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),30
ВЪЗРАЖДАНЕ,2204405,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА, ГР.СОФИЯ",2524,Пътно-строителна техника - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),30
ОВЧА КУПЕЛ,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ"", ГР.СОФИЯ",4727,Ветеринарен лаборант - разширено изучаване на АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),30
КРАСНА ПОЛЯНА,2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",4101,"Производство на хляб, хлебни и сладкарски изделия - АЕ, ИспанскиЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * БЗО),30
ПАНЧАРЕВО,2218071,"71 Средно училище ""Пейо Яворов"", С.КАЗИЧЕНЕ",4445,Предприемачески,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),30
СЕРДИКА,2220059,"59 ОБЕДИНЕНО УЧИЛИЩЕ  ""ВАСИЛ ЛЕВСКИ"", ГР.СОФИЯ",1530,Готвач,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ),30
ИЛИНДЕН,2206113,"113 СУ ""САВА ФИЛАРЕТОВ"", ГР.СОФИЯ",1648,Продавач-консултант /РЕ/,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ТП),30
НАДЕЖДА,2214015,"15 Средно училище "" Адам Мицкевич"", ГР.СОФИЯ",3015,Митническо и данъчно обслужване - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),30
ЛЮЛИН,2212037,"37. Средно училище ""Райна Княгиня"", ГР.СОФИЯ",4471,"Търговия на едро и дребно - Испански език разширено, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * КМИТ),30
ОВЧА КУПЕЛ,2217426,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""Д-Р СТАМЕН ГРИГОРОВ"", ГР.СОФИЯ",2901,Трайни насаждения,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),30
ИЛИНДЕН,2206411,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов"", ГР.СОФИЯ",448,Производство на захар и захарни изделия - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ХООС),30
